Actors,Counts
Nicolas Cage,65
Sanjay Dutt,62
Samuel L. Jackson,60
Robert De Niro,57
Bruce Willis,55
Shah Rukh Khan,54
Julianne Moore,49
Morgan Freeman,47
Ewan McGregor,46
Akshay Kumar,46
John Cusack,44
Anthony Hopkins,44
Liam Neeson,43
Johnny Depp,43
Nicole Kidman,43
Salman Khan,42
Willem Dafoe,41
Ethan Hawke,41
John Goodman,40
Matt Damon,40
Amitabh Bachchan,40
Antonio Banderas,40
Woody Harrelson,39
James Franco,39
Jackie Chan,39
Ajay Devgn,38
Denzel Washington,38
John Travolta,37
Keanu Reeves,37
Ed Harris,37
Owen Wilson,37
Russell Crowe,37
Mark Wahlberg,37
Dennis Quaid,37
Brad Pitt,37
Julia Roberts,36
Penélope Cruz,36
Pierce Brosnan,36
Colin Firth,36
Robin Williams,36
Robert Downey Jr.,36
Tom Hanks,35
Jude Law,35
Forest Whitaker,35
Adam Sandler,35
Ben Affleck,34
Ben Stiller,34
Brendan Fraser,34
Harvey Keitel,34
Naomi Watts,34
Cameron Diaz,34
Matthew McConaughey,34
Gérard Depardieu,34
Jean-Claude Van Damme,34
Kirsten Dunst,33
Jet Li,33
Sandra Bullock,33
Ryan Reynolds,33
Aamir Khan,33
Meryl Streep,33
Cate Blanchett,33
Toni Collette,33
Gary Oldman,32
Alec Baldwin,32
Ben Kingsley,32
Ray Liotta,32
Dolph Lundgren,32
Al Pacino,32
Charlize Theron,32
George Clooney,32
Tommy Lee Jones,32
Scarlett Johansson,31
Christian Bale,31
Kevin Spacey,31
Adrien Brody,31
Richard Gere,31
Rachel Weisz,31
Colin Farrell,31
Susan Sarandon,31
Ralph Fiennes,31
Kiefer Sutherland,31
John Malkovich,30
Guy Pearce,30
Jeff Bridges,30
Jennifer Aniston,30
Tim Roth,30
Christian Slater,30
Kate Beckinsale,30
Billy Bob Thornton,30
Wesley Snipes,30
Eddie Murphy,30
Michael Caine,29
Sharon Stone,29
Anil Kapoor,29
Sunil Shetty,29
Drew Barrymore,29
Paul Rudd,29
Kevin Costner,29
Robert Duvall,29
Stephen Chow,29
Dermot Mulroney,29
Christopher Walken,29
John Leguizamo,29
Kate Winslet,29
Sam Neill,29
Jackie Shroff,29
Kevin Bacon,29
Jeff Daniels,29
Uma Thurman,28
Sigourney Weaver,28
Hugh Jackman,28
Stellan Skarsgård,28
Renée Zellweger,28
Aaron Eckhart,28
Tom Cruise,28
Juliette Binoche,28
Nick Nolte,28
Juhi Chawla,28
Jason Statham,28
Val Kilmer,28
Elijah Wood,28
Govinda,27
Gerard Butler,27
Gwyneth Paltrow,27
Charlie Sheen,27
Daniel Craig,27
Reese Witherspoon,27
Natalie Portman,27
Will Ferrell,27
Dwayne Johnson,27
Sam Rockwell,27
Luke Wilson,26
Madhuri Dixit,26
Angelina Jolie,26
Saif Ali Khan,26
Joaquin Phoenix,26
Steve Martin,26
Clive Owen,26
Mel Gibson,26
Michael Keaton,26
Gene Hackman,26
Halle Berry,26
Thomas Jane,25
Bill Pullman,25
Donald Sutherland,25
Vince Vaughn,25
Diane Lane,25
Jennifer Connelly,25
Hugh Grant,25
Mark Ruffalo,25
Will Smith,25
Emily Watson,25
Steve Carell,25
Bill Paxton,25
Milla Jovovich,25
Kristen Stewart,25
Salma Hayek,25
Gabriel Byrne,25
Greg Kinnear,25
Michelle Pfeiffer,25
Sean Penn,25
Kristin Scott Thomas,25
Heather Graham,25
Jake Gyllenhaal,24
Tom Wilkinson,24
James McAvoy,24
Sylvester Stallone,24
Kurt Russell,24
Leonardo DiCaprio,24
Danny Glover,24
Vincent DOnofrio,24
Jim Carrey,24
Michael Madsen,24
Harrison Ford,24
Andy Garcia,24
Cuba Gooding Jr.,24
Dennis Hopper,24
Laurence Fishburne,24
Winona Ryder,24
Jean Reno,24
Kathy Bates,24
Christina Ricci,24
Meg Ryan,24
Anne Hathaway,24
Viggo Mortensen,24
Helen Mirren,24
Bill Murray,23
Kevin Kline,23
Christopher Lambert,23
Laura Linney,23
Emma Thompson,23
Rachel McAdams,23
Annette Bening,23
Ron Perlman,23
Stephen Dorff,23
William Hurt,23
Raveena Tandon,23
Jennifer Jason Leigh,23
Catherine Keener,23
Javier Bardem,23
Geoffrey Rush,23
Marisa Tomei,22
Dakota Fanning,22
Maria Bello,22
Philip Seymour Hoffman,22
Matthew Broderick,22
Patrick Wilson,22
Diane Keaton,22
Rosario Dawson,22
Tilda Swinton,22
Mithun Chakraborty,22
Chris Evans,22
Whoopi Goldberg,22
Helena Bonham Carter,22
Michael Douglas,22
Tim Robbins,22
Ice Cube,22
Paul Walker,22
Vincent Cassel,22
Karisma Kapoor,22
Mickey Rourke,22
Demi Moore,22
Elizabeth Banks,22
Alfred Molina,21
Rani Mukerji,21
Diane Kruger,21
Emily Blunt,21
Patricia Clarkson,21
