Awards,Credits,Job,Name,Noms,Wins
"won 1 oscar, another 42 win & 64 nomination",330.0,Actor,Nicolas Cage,64,43
12 win & 19 nomination,222.0,Actor,Sanjay Dutt,19,12
"nominated 1 oscar, another 37 win & 81 nomination",624.0,Actor,Samuel L. Jackson,82,37
"won 2 oscars, another 53 win & 97 nomination",520.0,Actor,Robert De Niro,97,55
"won 1 golden globe, another 21 win & 37 nomination",419.0,Actor,Bruce Willis,37,22
59 win & 55 nomination,201.0,Actor,"Shah Rukh Khan
(I)",55,59
"won 1 oscar, another 112 win & 155 nomination",303.0,Actress,Julianne Moore,155,113
"won 1 oscar, another 59 win & 79 nomination",517.0,Actor,"Morgan Freeman
(I)",79,60
"won 1 golden globe, another 27 win & 47 nomination",332.0,Actor,Ewan McGregor,47,28
13 win & 30 nomination,170.0,Actor,"Akshay Kumar
(I)",30,13
"nominated 1 golden globe, another 7 win & 19 nomination",222.0,Actor,"John Cusack
(I)",20,7
"won 1 oscar, another 49 win & 62 nomination",386.0,Actor,"Anthony Hopkins
(I)",62,50
"nominated 1 oscar, another 21 win & 39 nomination",398.0,Actor,Liam Neeson,40,21
"nominated 3 oscars, another 75 win & 139 nomination",482.0,Actor,Johnny Depp,142,75
"won 1 oscar, another 88 win & 178 nomination",445.0,Actress,Nicole Kidman,178,89
17 win & 35 nomination,170.0,Actor,"Salman Khan
(I)",35,17
"nominated 3 oscars, another 64 win & 62 nomination",317.0,Actor,Willem Dafoe,65,64
"nominated 4 oscars, another 24 win & 109 nomination",242.0,Actor,Ethan Hawke,113,24
"won 1 golden globe, another 29 win & 71 nomination",363.0,Actor,"John Goodman
(I)",71,30
"won 1 oscar, another 35 win & 141 nomination",444.0,Producer,Matt Damon,141,36
49 win & 45 nomination,389.0,Actor,Amitabh Bachchan,45,49
"nominated 3 golden globes, another 38 win & 36 nomination",468.0,Actor,Antonio Banderas,39,38
"nominated 3 oscars, another 27 win & 88 nomination",308.0,Actor,Woody Harrelson,91,27
"nominated 1 oscar, another 45 win & 129 nomination",483.0,Actor,James Franco,130,45
39 win & 47 nomination,550.0,Actor,"Jackie Chan
(I)",47,39
11 win & 15 nomination,157.0,Actor,Ajay Devgn,15,11
"won 2 oscars, another 81 win & 166 nomination",366.0,Actor,Denzel Washington,166,83
"nominated 2 oscars, another 52 win & 56 nomination",525.0,Actor,"John Travolta
(I)",58,52
12 win & 22 nomination,338.0,Actor,Keanu Reeves,22,12
"nominated 4 oscars, another 27 win & 47 nomination",242.0,Actor,"Ed Harris
(I)",51,27
"nominated 1 oscar, another 14 win & 48 nomination",203.0,Actor,"Owen Wilson
(I)",49,14
"won 1 oscar, another 35 win & 72 nomination",323.0,Actor,Russell Crowe,72,36
"nominated 2 oscars, another 20 win & 68 nomination",404.0,Producer,"Mark Wahlberg
(I)",70,20
"nominated 2 golden globes, another 11 win & 25 nomination",275.0,Actor,Dennis Quaid,27,11
"won 1 oscar, another 66 win & 151 nomination",414.0,Actor,Brad Pitt,151,67
"won 1 oscar, another 58 win & 96 nomination",277.0,Actress,"Julia Roberts
(I)",96,59
"won 1 oscar, another 51 win & 102 nomination",358.0,Actress,Penélope Cruz,102,52
"nominated 2 golden globes, another 19 win & 20 nomination",404.0,Actor,Pierce Brosnan,22,19
"won 1 oscar, another 66 win & 55 nomination",244.0,Actor,Colin Firth,55,67
"won 1 oscar, another 63 win & 85 nomination",619.0,Actor,"Robin Williams
(I)
(1951–2014)",85,64
"nominated 2 oscars, another 36 win & 104 nomination",374.0,Actor,Robert Downey Jr.,106,36
"won 2 oscars, another 81 win & 149 nomination",671.0,Producer,Tom Hanks,149,83
"nominated 2 oscars, another 17 win & 57 nomination",232.0,Actor,Jude Law,59,17
"won 1 oscar, another 55 win & 53 nomination",340.0,Actor,Forest Whitaker,53,56
"nominated 1 golden globe, another 53 win & 76 nomination",458.0,Actor,"Adam Sandler
(I)",77,53
"won 2 oscars, another 71 win & 107 nomination",400.0,Producer,Ben Affleck,107,73
"won 1 primetime emmy, another 12 win & 57 nomination",541.0,Producer,Ben Stiller,57,13
8 win & 11 nomination,170.0,Actor,Brendan Fraser,11,8
"nominated 1 oscar, another 25 win & 18 nomination",263.0,Actor,Harvey Keitel,19,25
"nominated 2 oscars, another 55 win & 85 nomination",237.0,Actress,Naomi Watts,87,55
"nominated 4 golden globes, another 29 win & 79 nomination",346.0,Actress,Cameron Diaz,83,29
"won 1 oscar, another 46 win & 79 nomination",303.0,Actor,Matthew McConaughey,79,47
"nominated 1 oscar, another 22 win & 33 nomination",413.0,Actor,Gérard Depardieu,34,22
2 win & 9 nomination,231.0,Actor,Jean-Claude Van Damme,9,2
"nominated 2 golden globes, another 32 win & 66 nomination",264.0,Actress,Kirsten Dunst,68,32
4 win & 15 nomination,116.0,Actor,Jet Li,15,4
"won 1 oscar, another 75 win & 110 nomination",311.0,Producer,Sandra Bullock,110,76
"nominated 1 golden globe, another 16 win & 42 nomination",230.0,Actor,"Ryan Reynolds
(I)",43,16
27 win & 46 nomination,111.0,Actor,"Aamir Khan
(I)",46,27
"won 3 oscars, another 170 win & 355 nomination",465.0,Actress,Meryl Streep,355,173
"won 2 oscars, another 149 win & 184 nomination",289.0,Actress,Cate Blanchett,184,151
"nominated 1 oscar, another 27 win & 51 nomination",194.0,Actress,Toni Collette,52,27
"won 1 oscar, another 57 win & 73 nomination",270.0,Actor,Gary Oldman,73,58
"nominated 1 oscar, another 45 win & 97 nomination",507.0,Actor,"Alec Baldwin
(I)",98,45
"won 1 oscar, another 44 win & 69 nomination",352.0,Actor,Ben Kingsley,69,45
"nominated 1 golden globe, another 8 win & 9 nomination",235.0,Actor,Ray Liotta,10,8
3 win,311.0,Actor,Dolph Lundgren,0,3
"won 1 oscar, another 44 win & 70 nomination",269.0,Actor,"Al Pacino
(I)",70,45
