USA,The Handmaid's Tale (1990)
USA,Goodfellas (1990)
USA,Total Recall (1990)
USA,Tremors (1990)
USA,Home Alone (1990)
USA,Flatliners (1990)
USA,Pretty Woman (1990)
USA,The Godfather: Part III (1990)
USA,Misery (1990)
USA,Predator 2 (1990)
USA,Edward Scissorhands (1990)
USA,Dances with Wolves (1990)
USA,Kindergarten Cop (1990)
USA,The Hunt for Red October (1990)
USA,Ghost (1990)
USA,Teenage Mutant Ninja Turtles (1990)
USA,Rocky V (1990)
USA,Back to the Future Part III (1990)
USA,Wild at Heart (1990)
USA,Cry-Baby (1990)
USA,Dick Tracy (1990)
USA,Die Hard 2 (1990)
USA,Days of Thunder (1990)
UK,The Witches (1990)
USA,Jacob's Ladder (1990)
USA,House Party (1990)
USA,Miller's Crossing (1990)
USA,Nightbreed (1990)
USA,Lord of the Flies (1990)
USA,Arachnophobia (1990)
USA,RoboCop 2 (1990)
USA,The Adventures of Ford Fairlane (1990)
USA,Awakenings (1990)
USA,Child's Play 2 (1990)
USA,Mermaids (1990)
France,La Femme Nikita (1990)
USA,Revenge (1990)
USA,Darkman (1990)
USA,Young Guns II (1990)
USA,Captain America (1990)
USA,Problem Child (1990)
Italy,King of New York (1990)
USA,Gremlins 2: The New Batch (1990)
USA,The Exorcist III (1990)
Italy,Troll 2 (1990)
USA,Lionheart (1990)
USA,The Hot Spot (1990)
USA,Graveyard Shift (1990)
USA,The NeverEnding Story II: The Next Chapter (1990)
USA,Joe Versus the Volcano (1990)
USA,Henry & June (1990)
USA,Marked for Death (1990)
USA,Night of the Living Dead (1990)
USA,Frankenhooker (1990)
Canada,Pump Up the Volume (1990)
Australia,Quigley Down Under (1990)
UK,State of Grace (1990)
USA,The Rescuers Down Under (1990)
USA,Tales from the Darkside: The Movie (1990)
USA,The Rookie (1990)
UK,Hardware (1990)
USA,Presumed Innocent (1990)
USA,Air America (1990)
Hong Kong,Days of Being Wild (1990)
France,DuckTales the Movie: Treasure of the Lost Lamp (1990)
USA,Slacker (1990)
Canada,Death Warrant (1990)
USA,The Bonfire of the Vanities (1990)
USA,Leatherface: Texas Chainsaw Massacre III (1990)
USA,Cadillac Man (1990)
USA,Navy Seals (1990)
USA,3 Men and a Little Lady (1990)
USA,Class of 1999 (1990)
USA,Bird on a Wire (1990)
UK,Memphis Belle (1990)
USA,I Come in Peace (1990)
USA,The Grifters (1990)
USA,Hard to Kill (1990)
Japan,Dreams (1990)
USA,Men at Work (1990)
Canada,Ski School (1990)
USA,I Love You to Death (1990)
USA,The Russia House (1990)
USA,Blue Steel (1990)
USA,Taking Care of Business (1990)
USA,Another 48 Hrs. (1990)
USA,Delta Force 2: The Colombian Connection (1990)
USA,White Palace (1990)
USA,Internal Affairs (1990)
USA,My Blue Heaven (1990)
USA,Pacific Heights (1990)
USA,Bad Influence (1990)
USA,Reversal of Fortune (1990)
USA,The Two Jakes (1990)
USA,Look Who's Talking Too (1990)
USA,Begotten (1990)
UK,The Sheltering Sky (1990)
USA,Hamlet (1990)
France,Green Card (1990)
UK,Rosencrantz & Guildenstern Are Dead (1990)
USA,The Freshman (1990)
USA,Postcards from the Edge (1990)
France,The Hairdresser's Husband (1990)
USA,The Comfort of Strangers (1990)
USA,Mo' Better Blues (1990)
UK,"Welcome Home, Roxy Carmichael (1990)"
France,Cyrano de Bergerac (1990)
USA,The Guardian (1990)
USA,Fire Birds (1990)
UK,The Boyfriend School (1990)
USA,Desperate Hours (1990)
USA,Brain Dead (1990)
USA,A Nymphoid Barbarian in Dinosaur Hell (1990)
USA,Quick Change (1990)
USA,Roger Corman's Frankenstein Unbound (1990)
USA,Miami Blues (1990)
USA,Avalon (1990)
USA,Mirror Mirror (1990)
UK,Life Is Sweet (1990)
USA,Catchfire (1990)
USA,Spaced Invaders (1990)
USA,Book of Love (1990)
USA,A Cry in the Wild (1990)
USA,The First Power (1990)
USA,The Ambulance (1990)
UK,The Krays (1990)
Ireland,The Field (1990)
USA,Mr. Destiny (1990)
USA,Havana (1990)
Germany,Europa Europa (1990)
USA,Maniac Cop 2 (1990)
New Zealand,An Angel at My Table (1990)
USA,Stanley & Iris (1990)
USA,Demon Wind (1990)
West Germany,Moon 44 (1990)
UK,Truly Madly Deeply (1990)
USA,Opportunity Knocks (1990)
USA,Alice (1990)
USA,Cadence (1990)
Japan,Prayer of the Rollerboys (1990)
USA,White Hunter Black Heart (1990)
USA,Spontaneous Combustion (1990)
Italy,Two Evil Eyes (1990)
Spain,The Rift (1990)
UK,The Reflecting Skin (1990)
USA,Texasville (1990)
USA,Repossessed (1990)
Italy,Desire (1990)
USA,Slumber Party Massacre III (1990)
USA,Metropolitan (1990)
USA,Side Out (1990)
USA,Basket Case 2 (1990)
USA,Madhouse (1990)
USA,Narrow Margin (1990)
USA,Jetsons: The Movie (1990)
USA,Ernest Goes to Jail (1990)
USA,American Ninja 4: The Annihilation (1990)
USA,Ghost Dad (1990)
USA,Q & A (1990)
UK,Hidden Agenda (1990)
USA,Flashback (1990)
