Title,IMDBRating,IMDBRatingCount,ReleaseDate,RunTime,UserCount,CriticCount,Metascore,Budget,Opening,GrossUSA,GrossIntl,Country,Awards,Genres,MPAA,ProdCo,Stars,Noms,Wins,ActNoms,ActWins,ActAwards,ActCreds,ReleaseMonth,ReleaseYear,Comps
It (2017),7.4,286942,2017-09-08,135.0,1328.0,549.0,69.0,35000000.0,123403419.0,327481748.0,700381748.0,USA,43.0,"Drama, Horror, Thriller",R,"New Line Cinema, RatPac-Dune Entertainment, Vertigo Entertainment","Bill Skarsgård, Jaeden Lieberher, Finn Wolfhard",38.0,5.0,4.5,3.0,7.5,31.5,9.0,2017.0,68.0
The Greatest Showman (2017),7.7,138013,2017-12-20,105.0,1160.0,302.0,48.0,84000000.0,8805843.0,174307966.0,434236813.0,USA,33.0,"Biography, Drama, Musical",PG,"Chernin Entertainment, TSG Entertainment, Twentieth Century Fox","Hugh Jackman, Michelle Williams, Zac Efron",25.0,8.0,84.0,31.33333333333333,115.33333333333331,274.6666666666667,12.0,2017.0,42.0
Thor: Ragnarok (2017),7.9,357134,2017-11-03,130.0,1129.0,478.0,74.0,180000000.0,122744989.0,315058289.0,853977126.0,USA,41.0,"Action, Adventure, Comedy, Fantasy, Sci-Fi",PG-13,"Walt Disney Pictures, Marvel Studios, Other","Chris Hemsworth, Tom Hiddleston, Cate Blanchett",36.0,5.0,82.66666666666667,56.0,138.66666666666666,197.33333333333331,11.0,2017.0,55.0
Disobedience (2017),6.8,5336,2018-04-27,114.0,50.0,88.0,74.0,6000000.0,237393.0,3478877.0,5290287.0,UK,2.0,"Drama, Romance",R,"Other, Other, Other","Rachel Weisz, Rachel McAdams, Alessandro Nivola",2.0,0.0,29.33333333333333,16.666666666666668,46.0,124.0,4.0,2018.0,24.0
Kingsman: The Golden Circle (2017),6.8,188111,2017-09-22,141.0,558.0,324.0,44.0,104000000.0,39023010.0,100234838.0,410878571.0,UK,9.0,"Action, Adventure, Comedy",R,"Twentieth Century Fox, Other, Other","Taron Egerton, Colin Firth, Mark Strong",7.0,2.0,22.66666666666667,24.0,46.66666666666666,151.0,9.0,2017.0,68.0
Jumanji: Welcome to the Jungle (2017),7.0,180496,2017-12-20,119.0,554.0,292.0,58.0,90000000.0,36169328.0,404515480.0,961798839.0,USA,11.0,"Action, Adventure, Comedy, Fantasy",PG-13,"Columbia Pictures, Other, Radar Pictures","Dwayne Johnson, Karen Gillan, Kevin Hart",7.0,4.0,31.66666666666667,11.0,42.66666666666666,356.66666666666674,12.0,2017.0,42.0
Baywatch (2017),5.6,109998,2017-05-25,116.0,326.0,314.0,37.0,69000000.0,18503871.0,58060186.0,176928652.0,UK,14.0,"Action, Comedy, Crime",R,"Paramount Pictures, Other, Other","Dwayne Johnson, Zac Efron, Alexandra Daddario",11.0,3.0,28.66666666666667,13.333333333333336,42.0,319.3333333333333,5.0,2017.0,33.0
Justice League (2017),6.6,263852,2017-11-17,120.0,1573.0,442.0,45.0,300000000.0,93842239.0,229024295.0,614729668.0,UK,8.0,"Action, Adventure, Fantasy, Sci-Fi",PG-13,"Atlas Entertainment, Other, Other","Ben Affleck, Gal Gadot, Jason Momoa",7.0,1.0,42.66666666666666,26.66666666666667,69.33333333333333,191.0,11.0,2017.0,55.0
The Shape of Water (2017),7.4,229986,2017-12-22,123.0,1087.0,933.0,87.0,19400000.0,166564.0,63859435.0,194349972.0,USA,408.0,"Adventure, Drama, Fantasy, Horror, Romance, Thriller",R,"Other, Other, Fox Searchlight Pictures","Sally Hawkins, Octavia Spencer, Michael Shannon",300.0,108.0,81.66666666666667,38.333333333333336,120.0,161.0,12.0,2017.0,42.0
Spider-Man: Homecoming (2017),7.5,339397,2017-07-07,133.0,1061.0,516.0,73.0,175000000.0,117027503.0,334201140.0,880166924.0,USA,13.0,"Action, Adventure, Sci-Fi",PG-13,"Columbia Pictures, Marvel Studios, Other","Tom Holland, Michael Keaton, Robert Downey Jr.",8.0,5.0,54.0,38.0,92.0,229.66666666666663,7.0,2017.0,34.0
